Round,Pick,Team,Player,Position,School
1,1,Jacksonville Jaguars,Travon Walker,DE,Georgia
1,2,Detroit Lions,Aidan Hutchinson,DE,Michigan
1,3,Houston Texans,Derek Stingley Jr.,DB,LSU
1,4,New York Jets,Ahmad Gardner,CB,Cincinnati
1,5,New York Giants,Kayvon Thibodeaux,DE,Oregon
1,6,Carolina Panthers,Ickey Ekwonu,OL,NC State
1,7,New York Giants,Evan Neal,OT,Alabama
1,8,Atlanta Falcons,Drake London,WR,USC
1,9,Seattle Seahawks,Charles Cross,OT,Miss St
1,10,New York Jets,Garrett Wilson,WR,Ohio State
1,11,New Orleans Saints,Chris Olave,WR,Ohio State
1,12,Detroit Lions,Jameson Williams,WR,Alabama
1,13,Philadelphia Eagles,Jordan Davis,DT,Georgia
1,14,Baltimore Ravens,Kyle Hamilton,S,Notre Dame
1,15,Houston Texans,Kenyon Green,G,Texas A&M
1,16,Washington Commanders,Jahan Dotson,WR,Penn State
1,17,Los Angeles Chargers,Zion Johnson,G,Boston College
1,18,Tennessee Titans,Treylon Burks,WR,Arkansas
1,19,New Orleans Saints,Trevor Penning,OT,Northern Iowa
1,20,Pittsburgh Steelers,Kenny Pickett,QB,Pitt
1,21,Kansas City Chiefs,Trent McDuffie,DB,Washington
1,22,Green Bay Packers,Quay Walker,LB,Georgia
1,23,Buffalo Bills,Kaiir Elam,CB,Florida
1,24,Dallas Cowboys,Tyler Smith,OL,Tulsa
1,25,Baltimore Ravens,Tyler Linderbaum,C,Iowa
1,26,New York Jets,Jermaine Johnson,DE,FSU
1,27,Jacksonville Jaguars,Devin Lloyd,LB,Utah
1,28,Green Bay Packers,Devonte Wyatt,DT,Georgia
1,29,New England Patriots,Cole Strange,OG,Chattanooga
1,30,Kansas City Chiefs,George Karlaftis,DE,Purdue
1,31,Cincinnati Bengals,Daxton Hill,S,Michigan
1,32,Minnesota Vikings,Lewis Cine,S,Georgia
2,33,Tampa Bay Buccaneers,Logan Hall,DE,Houston
2,34,Green Bay Packers,Christian Watson,WR,North Dakota St.
2,35,Tennessee Titans,Roger McCreary,CB,Auburn
2,36,New York Jets,Breece Hall,RB,Iowa State
2,37,Houston Texans,Jalen Pitre,S,Baylor
2,38,Atlanta Falcons,Arnold Ebiketie,DE,Penn State
2,39,Chicago Bears,Kyler Gordon,CB,Washington
2,40,Seattle Seahawks,Boye Mafe,DE,Minnesota
2,41,Seattle Seahawks,Kenneth Walker III,RB,Michigan St.
2,42,Minnesota Vikings,Andrew Booth Jr.,CB,Clemson
2,43,New York Giants,Wan'Dale Robinson,WR,Kentucky
2,44,Houston Texans,John Metchie III,WR,Alabama
2,45,Baltimore Ravens,David Ojabo,OLB,Michigan
2,46,Detroit Lions,Josh Paschal,DE,Kentucky
2,47,Washington Commanders,Phidarian Mathis,DT,Alabama
2,48,Chicago Bears,Jaquan Brisker,S,Penn State
2,49,New Orleans Saints,Alontae Taylor,CB,Tennessee
2,50,New England Patriots,Tyquan Thornton,WR,Baylor
2,51,Philadelphia Eagles,Cam Jurgens,C,Nebraska
2,52,Pittsburgh Steelers,George Pickens,WR,Georgia
2,53,Indianapolis Colts,Alec Pierce,WR,Cincinnati
2,54,Kansas City Chiefs,Skyy Moore,WR,Western Michigan
2,55,Arizona Cardinals,Trey McBride,TE,Colorado State
2,56,Dallas Cowboys,Sam Williams,DE,Ole Miss
2,57,Tampa Bay Buccaneers,Luke Goedeke,OG,Central Michigan
2,58,Atlanta Falcons,Troy Andersen,LB,Montana State
2,59,Minnesota Vikings,Ed Ingram,OG,LSU
2,60,Cincinnati Bengals,Cam Taylor-Britt,CB,Nebraska
2,61,San Francisco 49ers,Drake Jackson,DE,USC
2,62,Kansas City Chiefs,Bryan Cook,S,Cincinnati
2,63,Buffalo Bills,James Cook,RB,Georgia
2,64,Denver Broncos,Nik Bonitto,LB,Oklahoma
3,65,Jacksonville Jaguars,Luke Fortner,C,Kentucky
3,66,Minnesota Vikings,Brian Asamoah,LB,Oklahoma
3,67,New York Giants,Joshua Ezuedu,OG,North Carolina
3,68,Cleveland Browns,Martin Emerson,CB,Mississippi St.
3,69,Tennessee Titans,Nicholas Petit-Frere,OT,Ohio State
